Paper	Intervention	Outcome	Efficacy	eNNT	GRADE	AMSTAR	k	Design	Age	BD_stage	Comparison	Comparison_type	TE	seTE	Rank	Meta_review	invTE	TE_lo	TE_up	Intervention_acro	Comparison_acro	Outcome_acro
"<a href='https://doi.org/' target=""_blank"">Pittas S., 2021 (MA)</a>"	n-acetyl cysteine	Functioning scale, GAF, change from baseline	"eSMD=3.21 [-12.55, 18.97] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=1.02	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	3	Pairwise meta-analysis	Adults	Bipolar Depression	placebo	aug	3.21	8.04	III (Low)	Pittas S., 2021 (MA)	-3.21	-12.55	18.97	nac	pbo	Functioning, GAF, change
"<a href='https://doi.org/' target=""_blank"">McKnight R.F., 2019 (MA)</a>"	lamotrigine	Functioning scale, GAS, change from baseline	"eSMD=-4.36 [-9.37, 0.65] <br> <img src=""https://www.linkpicture.com/q/Diapositive1.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=1	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	lithium	mono	-4.36	2.56	III (Low)	McKnight R.F., 2019 (MA)	4.36	-9.37	0.65	lam	lit	Functioning, GAS, change
"<a href='https://doi.org/' target=""_blank"">McKnight R.F., 2019 (MA)</a>"	lithium	Functioning scale, GAS, endpoint score	"eSMD=3.17 [-7.02, 13.37] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=1.03	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	placebo	mono	3.17	5.2	IV (Very Low)	McKnight R.F., 2019 (MA)	-3.17	-7.02	13.37	lit	pbo	Functioning, GAS, endpoint score
"<a href='https://doi.org/' target=""_blank"">Pittas S., 2021 (MA)</a>"	n-acetyl cysteine	Functioning scale, LIFE-RIFT, change from baseline	"eSMD=2.01 [-7.04, 11.06] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=1.18	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	3	Pairwise meta-analysis	Adults	Bipolar Depression	placebo	aug	2.01	4.62	IV (Very Low)	Pittas S., 2021 (MA)	-2.01	-7.04	11.06	nac	pbo	Functioning, LIFE-RIFT, change
"<a href='https://doi.org/' target=""_blank"">Suttajit S., 2014 (MA)</a>"	quetiapine	Functioning scale, SDS, change frome baseline	"eSMD=1.42 [0.53, 2.32] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=1.46	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	3	Pairwise meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	1.42	0.46	I (High)	Suttajit S., 2014 (MA)	-1.42	0.53	2.32	que	pbo	Functioning, SDS, change
"<a href='https://doi.org/' target=""_blank"">Pittas S., 2021 (MA)</a>"	n-acetyl cysteine	Functioning scale, SOFAS, change from baseline	"eSMD=0.47 [-4.6, 5.53] <br> <img src=""https://www.linkpicture.com/q/Diapositive16.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=3.84	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Bipolar Depression	placebo	aug	0.47	2.58	III (Low)	Pittas S., 2021 (MA)	-0.47	-4.6	5.53	nac	pbo	Functioning, SOFAS, change
"<a href='https://doi.org/' target=""_blank"">McKnight R.F., 2019 (MA)</a>"	haloperidol	General psychopathology scale, BPRS, change from baseline	"eSMD=2.4 [-1.5, 6.31] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=1.1	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	3	Pairwise meta-analysis	Adults	Mania/Mixed	lithium	mono	2.4	1.99	IV (Very Low)	McKnight R.F., 2019 (MA)	-2.4	-1.5	6.31	hal	lit	General sxs, BPRS, change
"<a href='https://doi.org/' target=""_blank"">McKnight R.F., 2019 (MA)</a>"	lamotrigine	General psychopathology scale, BPRS, change from baseline	"eSMD=1.82 [-0.14, 3.78] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=1.25	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	3	Pairwise meta-analysis	Adults	Mania/Mixed	lithium	mono	1.82	1	III (Low)	McKnight R.F., 2019 (MA)	-1.82	-0.14	3.78	lam	lit	General sxs, BPRS, change
"<a href='https://doi.org/' target=""_blank"">McKnight R.F., 2019 (MA)</a>"	chlorpromazine	General psychopathology scale, BPRS, change from baseline	"eSMD=0.59 [-0.57, 1.75] <br> <img src=""https://www.linkpicture.com/q/Diapositive17.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=3.09	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	lithium	mono	0.59	0.59	III (Low)	McKnight R.F., 2019 (MA)	-0.59	-0.57	1.75	chlorp	lit	General sxs, BPRS, change
"<a href='https://doi.org/' target=""_blank"">Macritchie K., 2003 (MA)</a>"	divalproate	Global assessment scale, GAS, endpoint score	"eSMD=7.77 [2.54, 13] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=1	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	placebo	mono	7.77	2.67	I (High)	Macritchie K., 2003 (MA)	-7.77	2.54	13	div	pbo	Global assessment, GAS, endpoint score
"<a href='https://doi.org/' target=""_blank"">Ceron-Litvoc D., 2009 (MA)</a>"	carbamazepine	Hospitalization	"eSMD=-0.1 [-0.31, 0.1] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=17.74	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Maintenance	lithium	mono	-0.1	0.1	III (Low)	Ceron-Litvoc D., 2009 (MA)	0.1	-0.31	0.1	cbz	lit	Hospitalization
"<a href='https://doi.org/' target=""_blank"">Rogers J., 2017 (NMA)</a>"	olanzapine	Hospitalization	"eSMD=0.72 [0.47, 1.01] <br> <img src=""https://www.linkpicture.com/q/Diapositive19.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=2.57	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	0.72	0.14	III (Low)	Rogers J., 2017 (NMA)	-0.72	0.47	1.01	ola	pbo	Hospitalization
"<a href='https://doi.org/' target=""_blank"">Rogers J., 2017 (NMA)</a>"	lithium	Hospitalization	"eSMD=0.45 [0.29, 0.63] <br> <img src=""https://www.linkpicture.com/q/Diapositive16.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.01	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	0.45	0.09	III (Low)	Rogers J., 2017 (NMA)	-0.45	0.29	0.63	lit	pbo	Hospitalization
"<a href='https://doi.org/' target=""_blank"">Rogers J., 2017 (NMA)</a>"	imipramine	Hospitalization	"eSMD=-0.07 [-0.51, 0.37] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=25.33	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	-0.07	0.22	IV (Very Low)	Rogers J., 2017 (NMA)	0.07	-0.51	0.37	imp	pbo	Hospitalization
"<a href='https://doi.org/' target=""_blank"">Rogers J., 2017 (NMA)</a>"	flupentixol+lithium	Hospitalization	"eSMD=-0.22 [-1.77, 1.39] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=8.09	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo+lithium	combo	-0.22	0.81	IV (Very Low)	Rogers J., 2017 (NMA)	0.22	-1.77	1.39	flupentix+lit	pbo+lit	Hospitalization
"<a href='https://doi.org/' target=""_blank"">Rendell J.M., 2010 (MA)</a>"	olanzapine	Hostility	"eSMD=0.37 [-0.11, 0.86] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.85	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	placebo	mono	0.37	0.25	II (Moderate)	Rendell J.M., 2010 (MA)	-0.37	-0.11	0.86	ola	pbo	Hostility
"<a href='https://doi.org/' target=""_blank"">Chatterton M.L., 2017 (NMA)</a>"	CBT	Mania symptoms scale, change from baseline	"eSMD=0.17 [-0.43, 0.78] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=10.45	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	18	Network meta-analysis	Adults	Maintenance	TAU	N/A	0.17	0.31	IV (Very Low)	Chatterton M.L., 2017 (NMA)	-0.17	-0.43	0.78	CBT	tau	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Chatterton M.L., 2017 (NMA)</a>"	psychoeducation	Mania symptoms scale, change from baseline	"eSMD=0.22 [-0.2, 0.64] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=8.09	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	18	Network meta-analysis	Adults	Maintenance	TAU	N/A	0.22	0.21	IV (Very Low)	Chatterton M.L., 2017 (NMA)	-0.22	-0.2	0.64	PE	tau	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Chatterton M.L., 2017 (NMA)</a>"	CBT+psychoeducation	Mania symptoms scale, change from baseline	"eSMD=0.95 [0.43, 1.47] <br> <img src=""https://www.linkpicture.com/q/Diapositive20.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=2.01	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	18	Network meta-analysis	Adults	Maintenance	TAU	N/A	0.95	0.27	II (Moderate)	Chatterton M.L., 2017 (NMA)	-0.95	0.43	1.47	CBT+PE	tau	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	haloperidol	Mania symptoms scale, change from baseline	"eSMD=0.56 [0.43, 0.69] <br> <img src=""https://www.linkpicture.com/q/Diapositive17.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=3.25	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.56	0.07	II (Moderate)	Cipriani A., 2011 (NMA)	-0.56	0.43	0.69	hal	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	risperidone	Mania symptoms scale, change from baseline	"eSMD=0.5 [0.38, 0.63] <br> <img src=""https://www.linkpicture.com/q/Diapositive16.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=3.62	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.5	0.06	II (Moderate)	Cipriani A., 2011 (NMA)	-0.5	0.38	0.63	risp	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	olanzapine	Mania symptoms scale, change from baseline	"eSMD=0.43 [0.32, 0.54] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.19	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.43	0.06	II (Moderate)	Cipriani A., 2011 (NMA)	-0.43	0.32	0.54	ola	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	quetiapine	Mania symptoms scale, change from baseline	"eSMD=0.37 [0.23, 0.51] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.85	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	65	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.37	0.07	II (Moderate)	Cipriani A., 2011 (NMA)	-0.37	0.23	0.51	que	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	lithium	Mania symptoms scale, change from baseline	"eSMD=0.37 [0.11, 0.63] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.85	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.37	0.13	II (Moderate)	Cipriani A., 2011 (NMA)	-0.37	0.11	0.63	lit	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	aripiprazole	Mania symptoms scale, change from baseline	"eSMD=0.37 [0.23, 0.51] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.85	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.37	0.07	II (Moderate)	Cipriani A., 2011 (NMA)	-0.37	0.23	0.51	ari	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	carbamazepine	Mania symptoms scale, change from baseline	"eSMD=0.36 [0.11, 0.6] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.98	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.36	0.12	II (Moderate)	Cipriani A., 2011 (NMA)	-0.36	0.11	0.6	cbz	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	asenapine	Mania symptoms scale, change from baseline	"eSMD=0.3 [0.07, 0.53] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=5.95	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.3	0.12	II (Moderate)	Cipriani A., 2011 (NMA)	-0.3	0.07	0.53	ase	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	divalproate	Mania symptoms scale, change from baseline	"eSMD=0.2 [0.04, 0.37] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=8.89	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.2	0.08	II (Moderate)	Cipriani A., 2011 (NMA)	-0.2	0.04	0.37	div	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	ziprasidone	Mania symptoms scale, change from baseline	"eSMD=0.2 [0.03, 0.37] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=8.89	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.2	0.09	II (Moderate)	Cipriani A., 2011 (NMA)	-0.2	0.03	0.37	zip	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	lamotrigine	Mania symptoms scale, change from baseline	"eSMD=0.08 [-0.18, 0.34] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=22.17	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.08	0.13	III (Low)	Cipriani A., 2011 (NMA)	-0.08	-0.18	0.34	lam	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	lamotrigine	Mania symptoms scale, change from baseline	"eSMD=-0.32 [-0.67, 0.06] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.59	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.32	0.19	III (Low)	Cipriani A., 2011 (NMA)	0.32	-0.67	0.06	lam	lit	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	gabapentin	Mania symptoms scale, change from baseline	"eSMD=-0.32 [-0.82, 0.18] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.59	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.32	0.26	III (Low)	Cipriani A., 2011 (NMA)	0.32	-0.82	0.18	gaba	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	divalproate	Mania symptoms scale, change from baseline	"eSMD=-0.23 [-0.4, -0.06] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=7.74	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.23	0.09	II (Moderate)	Cipriani A., 2011 (NMA)	0.23	-0.4	-0.06	div	ola	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	carbamazapine	Mania symptoms scale, change from baseline	"eSMD=-0.2 [-0.36, -0.01] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=8.89	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	haloperidol	mono	-0.2	0.09	II (Moderate)	Cipriani A., 2011 (NMA)	0.2	-0.36	-0.01	cbz	hal	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	aripiprazole	Mania symptoms scale, change from baseline	"eSMD=-0.19 [-0.36, -0.02] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=9.36	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	haloperidol	mono	-0.19	0.09	II (Moderate)	Cipriani A., 2011 (NMA)	0.19	-0.36	-0.02	ari	hal	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	asenapine	Mania symptoms scale, change from baseline	"eSMD=-0.14 [-0.36, 0.1] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=12.68	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.14	0.12	III (Low)	Cipriani A., 2011 (NMA)	0.14	-0.36	0.1	ase	ola	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	lithium	Mania symptoms scale, change from baseline	"eSMD=-0.13 [-0.3, 0.04] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=13.65	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	risperidone	mono	-0.13	0.09	III (Low)	Cipriani A., 2011 (NMA)	0.13	-0.3	0.04	lit	risp	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	quetiapine	Mania symptoms scale, change from baseline	"eSMD=-0.13 [-0.31, 0.04] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=13.65	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	risperidone	mono	-0.13	0.09	III (Low)	Cipriani A., 2011 (NMA)	0.13	-0.31	0.04	que	risp	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	divalproate	Mania symptoms scale, change from baseline	"eSMD=-0.1 [-0.41, 0.23] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=17.74	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.1	0.16	III (Low)	Cipriani A., 2011 (NMA)	0.1	-0.41	0.23	div	lit	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	topiramate	Mania symptoms scale, change from baseline	"eSMD=-0.07 [-0.24, 0.09] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=25.33	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.07	0.08	III (Low)	Cipriani A., 2011 (NMA)	0.07	-0.24	0.09	top	pbo	Manic sxs, change
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2011 (NMA)</a>"	olanzapine	Mania symptoms scale, change from baseline	"eSMD=-0.07 [-0.22, 0.08] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=25.33	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	63	Network meta-analysis	Adults	Mania/Mixed	risperidone	mono	-0.07	0.08	III (Low)	Cipriani A., 2011 (NMA)	0.07	-0.22	0.08	ola	risp	Manic sxs, change
